Average TCF4A,Average TCF4D,Average TCF4I,Average TCF4M,Average TCF20A,Average TCF 20 D,Average TCF 20 I,Average TCF 20 M,Average TCF36A,Average TCF36D,Average TCF36I,Average TCF36M,Average TCF44A,Average TCF44D,Average TCF44I,Average TCF44M,Average TCF44hA,Average TCF44hD,Average TCF44hI,Average TCF44hM,Average TCF72D,Average TCF72I,Average TCF72M,Average TCF72mA,Average TCF72mD,Average TCF72mI,Average TCF72mM,Average TCF72hA,Average TCF72hI,`
3.025,0.93,3.495,4.41,1.695,0,8.07,2.905,0,0.94,0.695,0,0.35,1.266666667,0,0,0.576666667,0.52,1.68,0.163333333,13.275,2.096666667,20.1,2.325,1.826666667,0.825,2.72,5.055,0.9,1.61
0,0,0,0,0,0,0,0,6.47,1.605,2.055,2.07,0,0,0,0,15.34,7,33.18333333,21.29666667,0,0,0,13.88,8.44,16.24,18.43,16.88,14.14333333,8.05
0,0,0,0,0,0,2.735,0,0.41,0,0,0,0,0,0,0,0,0,0,0,2.455,0,1.526666667,2.125,0.35,0,0,0,0,0
3.545,1.405,1.885,2.84,1.45,1.385,5.56,0.705,0,0,0,0.815,1.056666667,0,0,0,0,0,0,0,3.46,3.516666667,16.22333333,0.95,0,0,0,0,0.406666667,0
9.155,0,4.31,6.3,3.33,1.16,8.95,0,0,0,0,0,0,0.563333333,0,1.07,0,0,0,0,3.365,6.023333333,7.106666667,0,0.5,0,0,0,1.473333333,0
0,0,0.915,1.115,0,1.24,0,1.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.956666667,0,0.41,0,0,0.8,0,1.033333333
0,0,1.87,0,0,0.675,1.455,0,0,0,0,0.01,0,0,0.503333333,0,0,0,0.063333333,0.4,3.34,0,10.98,0,0.476666667,0.01,0.986666667,0,0,0
3.885,3.86,0,6.985,0,1.92,5.935,1.285,0,0,0,0,0.51,0.386666667,0,0,0.356666667,2.37,0.466666667,1.07,16.91,3.193333333,19.98333333,1.83,0,1.185,2.453333333,3.475,0.37,0
0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.235,1.633333333,0,0,0,0,0,0,0,0
8.075,4.02,2.255,5.71,0.93,0,3.515,2.185,0.61,0,0.525,0.795,0,0.336666667,1.026666667,0.59,0,1.27,0.4,0,13.525,3.413333333,23.38,3.86,1.036666667,0.78,1.04,3.51,2.146666667,1.11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.133333333,0,0,0,0,0,0,0
1.75,2.325,4.12,3.525,1.125,1.16,3.815,0,0,1.725,0,0,0.536666667,0.136666667,0,0,0,0,0,0,0,0,8.893333333,0.83,0,0,0,0.73,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.265,0,3.85,5.915,1.315,0,4.065,1.05,0,0.575,0.555,0.79,0,0,0,0,0,0,0.43,0,0,3.61,14.77,0,1.48,0.63,0,2.27,0.786666667,1.493333333
0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.75,0,0.775,3.05,3.35,0.83,4.79,0.58,0,0,0.47,0,0,0,0,0.813333333,0,0,0,0.54,0,8.643333333,6.383333333,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.77,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,1.43,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.05,1.025,0.515,1.86,0,0,0,0,0.333333333,0,1.66,1.303333333,0,0,0,3.4,2.686666667,0,4.83,7.195,4.796666667,2.726666667
17.555,17.575,13.51,7.56,7.64,4.405,9.525,4.69,0.57,2.63,1.71,0,0.843333333,1.226666667,1.176666667,1.183333333,3.26,2.54,2.303333333,0.813333333,52.625,12.29333333,23.92666667,13.125,2.506666667,5.875,3.073333333,9.735,4.623333333,8.16
2.01,0,0.725,2.185,1.12,0,0.81,0,0.965,0,0.465,1.26,0,0,0,0,0.676666667,1,0,0,0,2.706666667,3.326666667,0,0.696666667,0,0,0,0,0.38
25.14,9.385,9.675,34.79,12.585,6.425,17.765,10.315,2.295,3.455,3.28,0.745,5.55,0,1.446666667,2.643333333,0,1.19,1.4,1.073333333,5.245,16.64333333,26.89333333,11.72,5.726666667,2.975,2.766666667,10.625,8.173333333,4.806666667
19.275,8.545,12.755,33.195,9.3,7.655,8.6,7.49,1.085,2.41,1.6,0.76,0.87,3.166666667,1.973333333,2.83,3.096666667,0,0.86,0.386666667,43.195,8.536666667,47.09,8.125,1.86,2.84,3.87,11.63,3.63,5.293333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.675,1.3,0,1.705,0.67,0,0.885,0,0,0,0,0,0.396666667,0,0,0,0,0,0,0,0,1.616666667,5.93,0,0.92,2.21,0,0,0,0
4.44,0,2.71,6.895,1.36,0.655,7.025,3.035,0,0,0.565,1.265,0.403333333,0.793333333,0,0,0,0,0,0.383333333,0,6.016666667,4.036666667,0.89,1.463333333,0,1.066666667,0,1.486666667,0.463333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
